DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2010-01-04,14.15,14.2,13.85,14.0,11755130
2010-01-05,14.2,14.6,14.15,14.3,15444807
2010-01-06,14.3,14.4,14.15,14.2,8289221
2010-01-07,14.2,14.25,13.9,13.95,12236794
2010-01-08,13.95,14.5,13.9,14.3,15088181
2010-01-11,14.3,14.45,14.2,14.25,12313891
2010-01-12,14.25,14.3,13.9,13.95,14890166
2010-01-13,13.8,13.85,13.35,13.35,18654534
2010-01-14,13.5,13.6,13.45,13.5,4705126
2010-01-15,13.7,13.9,13.65,13.9,10879368
2010-01-18,13.75,13.95,13.7,13.8,5493613
2010-01-19,13.95,13.95,13.6,13.65,7592427
2010-01-20,13.9,13.9,13.6,13.6,5873091
2010-01-21,13.7,14.0,13.65,13.9,18028065
2010-01-22,13.9,14.0,13.4,13.6,14235345
2010-01-25,13.3,13.5,13.15,13.15,6373842
2010-01-26,13.2,13.25,12.25,12.35,21626494
2010-01-27,12.6,12.65,12.3,12.45,6605459
2010-01-28,12.7,12.75,12.55,12.6,7577928
2010-01-29,12.4,12.8,12.3,12.6,13681069
2010-02-01,12.65,12.7,12.4,12.5,5771192
2010-02-02,12.7,12.7,12.05,12.05,8980677
2010-02-03,12.4,12.4,12.15,12.3,11240977
2010-02-04,12.3,12.4,12.25,12.25,6776753
2010-02-05,11.9,12.1,11.8,11.85,14569607
2010-02-06,11.9,12.05,11.8,11.95,4266915
2010-02-08,12.0,12.25,11.95,12.15,6879971
2010-02-09,12.25,12.4,12.2,12.4,4767191
2010-02-10,12.5,12.6,12.4,12.5,11270725
2010-02-22,12.7,12.8,12.5,12.6,5332650
2010-02-23,12.4,12.7,12.4,12.65,5455712
2010-02-24,12.45,12.6,12.3,12.35,7059473
2010-02-25,12.35,12.4,11.85,11.95,16405514
2010-02-26,12.15,12.15,11.9,12.15,10707907
2010-03-01,12.2,12.4,12.1,12.3,7580823
2010-03-02,12.5,12.55,12.4,12.5,7710405
2010-03-03,12.55,12.7,12.4,12.7,6329329
2010-03-04,12.8,12.8,12.45,12.5,9473882
2010-03-05,12.7,13.1,12.6,13.05,11755881
2010-03-08,13.15,13.25,13.0,13.25,7228149
2010-03-09,13.2,13.25,12.95,13.05,3187109
2010-03-10,13.2,13.2,13.0,13.15,3376447
2010-03-11,13.25,13.75,13.2,13.7,23604797
2010-03-12,13.75,14.0,13.5,13.9,18977594
2010-03-15,13.95,14.1,13.6,13.6,11744855
2010-03-16,13.8,13.9,13.5,13.6,6700829
2010-03-17,13.7,13.95,13.65,13.9,13758452
2010-03-18,13.95,14.1,13.85,14.0,15347498
2010-03-19,14.0,14.3,13.9,14.2,21058789
2010-03-22,14.2,14.45,14.05,14.25,21159739
2010-03-23,14.2,14.3,14.05,14.2,13217728
2010-03-24,14.3,14.3,14.05,14.3,8208381
2010-03-25,14.3,14.3,14.0,14.2,10409116
