,name,weight,id
0,台積電,31.57,2330
1,鴻海,9.82,2317
2,大立光,3.04,3008
3,台塑,2.73,1301
4,中華電,2.55,2412
5,南亞,2.54,1303
6,台化,2.52,1326
7,國泰金,2.36,2882
8,台達電,2.3,2308
9,聯發科,2.21,2454
10,中信金,2.18,2891
11,富邦金,2.08,2881
12,中鋼,1.89,2002
13,統一,1.79,1216
14,兆豐金,1.65,2886
15,日月光,1.57,2311
16,可成,1.56,2474
17,華碩,1.28,2357
18,第一金,1.14,2892
19,台灣大,1.12,3045
20,和碩,1.12,4938
21,廣達,1.11,2382
22,玉山金,1.02,2884
23,和泰車,0.99,2207
24,統一超,0.96,2912
25,元大金,0.95,2885
26,台塑化,0.95,6505
27,聯電,0.92,2303
28,華南金,0.84,2880
29,合庫金,0.84,5880
30,台新金,0.77,2887
31,群創,0.77,3481
32,遠傳,0.76,4904
33,開發金,0.72,2883
34,正新,0.71,2105
35,台泥,0.69,1101
36,矽品,0.69,2325
37,寶成,0.69,9904
38,光寶科,0.67,2301
39,友達,0.66,2409
40,中壽,0.64,2823
41,遠東新,0.61,1402
42,彰銀,0.61,2801
43,鴻準,0.6,2354
44,永豐金,0.57,2890
45,仁寶,0.53,2324
46,研華,0.52,2395
47,亞泥,0.4,1102
48,儒鴻,0.4,1476
49,南亞科,0.25,2408
